"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","Total","InventoryItemCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount","TrackingName1","TrackingOption1","TrackingName2","TrackingOption2","Currency","Branding Theme"
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225596/1    XO25FD    37.10t    Fill Sand Will",37.1,10,"","411000","GST on Income",37.1,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225599/1    FHE610    37.36t    Fill Sand Will",37.36,10,"","411000","GST on Income",37.36,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225605/1    4SNOOP    42.24t    Fill Sand Will",42.24,9.999999999999998,"","411000","GST on Income",42.24,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225606/1    3SNOOP    38.30t    Fill Sand Will",38.3,10,"","411000","GST on Income",38.3,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225616/1    XN15KO    37.06t    Fill Sand Will",37.06,10,"","411000","GST on Income",37.06,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225872/1    XN15KO    36.60t    Fill Sand Will",36.6,10,"","411000","GST on Income",36.6,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225876/1    XO25FD    37.26t    Fill Sand Will",37.26,10.000000000000002,"","411000","GST on Income",37.26,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225621/1    FHE620    37.80t    Fill Sand Will",37.8,10,"","411000","GST on Income",37.8,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225877/1    3SNOOP    38.60t    Fill Sand Will",38.6,10,"","411000","GST on Income",38.6,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225622/1    FHE480    37.24t    Fill Sand Will",37.24,9.999999999999998,"","411000","GST on Income",37.24,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225879/1    FHE620    37.92t    Fill Sand Will",37.92,10,"","411000","GST on Income",37.92,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225628/1    FHE222    31.50t    Fill Sand Will",31.5,10,"","411000","GST on Income",31.5,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225884/1    FHE600    35.92t    Fill Sand Will",35.92,10,"","411000","GST on Income",35.92,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225629/1    FHE610    37.40t    Fill Sand Will",37.4,10,"","411000","GST on Income",37.4,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225633/1    XO25FD    36.64t    Fill Sand Will",36.64,10,"","411000","GST on Income",36.64,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225889/1    FHE610    37.40t    Fill Sand Will",37.4,10,"","411000","GST on Income",37.4,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225634/1    3SNOOP    39.10t    Fill Sand Will",39.1,10,"","411000","GST on Income",39.1,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225635/1    XN15KO    36.94t    Fill Sand Will",36.94,10,"","411000","GST on Income",36.94,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225892/1    FHE480    37.10t    Fill Sand Will",37.1,10,"","411000","GST on Income",37.1,"","","","","",""
