"Narration","Date","Description","Account Code","Line Amount","Tax Rate","Tax Amount","Line Amount Types","tracking 1 Name","tracking 1 Option","tracking 2 Name","tracking 2 Option","Status","Trans #"
"PV202110003","29/10/2021",".","9999",-8668.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202110003","29/10/2021",".","9999",8653.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202110003","29/10/2021",".","5131111",15,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202110002","31/10/2021",".","9999",-61625,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202110002","31/10/2021",".","5111101",62000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202110002","31/10/2021",".","5121101",375,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202110002","31/10/2021",".","9999",-750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202111001","15/11/2021",".","9999",-750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202111001","15/11/2021",".","9999",750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202111002","30/11/2021",".","9999",-61625,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202111002","30/11/2021",".","5111101",62000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202111002","30/11/2021",".","5121101",375,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202111002","30/11/2021",".","9999",-750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112001","17/12/2021",".","9999",237.74,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112001","17/12/2021",".","4200001",-279.7,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112001","17/12/2021",".","5181105",41.96,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202112002","29/12/2021",".","9999",-63000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202112002","29/12/2021",".","9999",63000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202112003","30/12/2021",".","9999",-61625,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202112003","30/12/2021",".","5111101",62000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202112003","30/12/2021",".","5121101",375,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202112003","30/12/2021",".","9999",-750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112002","31/12/2021",".","9999",-8000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112002","31/12/2021",".","5171101",8000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112003","31/12/2021",".","1131101",375,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112003","31/12/2021",".","5181106",58,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112003","31/12/2021",".","5181105",32.59,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112003","31/12/2021",".","5191103",-1,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112003","31/12/2021",".","4200001",-32.59,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112003","31/12/2021",".","5121101",-132,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112003","31/12/2021",".","1111101",-300,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112004","31/12/2021",".","9999",-750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112004","31/12/2021",".","5181106",750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112005","31/12/2021",".","9999",5997340,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112005","31/12/2021",".","9999",-1493500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112005","31/12/2021",".","9999",-1045929.6,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112005","31/12/2021",".","3000",-3457910.4,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112006","31/12/2021",".","9999",892.47,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112006","31/12/2021",".","4200001",-892.47,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112006","31/12/2021",".","1131103",133.78,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112006","31/12/2021",".","9999",-133.78,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112006","31/12/2021",".","9999",836.27,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112006","31/12/2021",".","4200001",-836.27,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112006","31/12/2021",".","1131103",125.56,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112006","31/12/2021",".","9999",-125.56,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112007","31/12/2021",".","9999",465261.48,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112007","31/12/2021",".","7111101",-465261.48,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112008","31/12/2021",".","5131113",18508,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112008","31/12/2021",".","3000",-18508,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112009","31/12/2021",".","1111101",300,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112009","31/12/2021",".","1111101",540,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112009","31/12/2021",".","1111101",-540,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112009","31/12/2021",".","1111101",300,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112009","31/12/2021",".","1161104",-300,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112009","31/12/2021",".","1161104",-540,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112009","31/12/2021",".","1161104",540,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112009","31/12/2021",".","1161104",-300,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112010","31/12/2021",".","1161104",272,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112010","31/12/2021",".","1161104",48,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112010","31/12/2021",".","1161104",288,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112010","31/12/2021",".","1161104",200,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112010","31/12/2021",".","5181106",-58,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202112010","31/12/2021",".","5181106",-750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202201002","10/01/2022",".","9999",-1500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202201002","10/01/2022",".","9999",1500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202201004","12/01/2022",".","9999",-278,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202201004","12/01/2022",".","5121101",278,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202201001","17/01/2022",".","9999",-300000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202201001","17/01/2022",".","5161101",308653.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202201001","17/01/2022",".","9999",-8653.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202201003","31/01/2022",".","9999",-61250,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202201003","31/01/2022",".","5111101",62000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202201003","31/01/2022",".","5121101",750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202201003","31/01/2022",".","9999",-1500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202202003","09/02/2022",".","9999",-1500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202202003","09/02/2022",".","9999",1500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202202002","09/02/2022",".","9999",-777.5,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202202002","09/02/2022",".","5121101",777.5,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202202001","15/02/2022",".","9999",-8668.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202202001","15/02/2022",".","9999",8653.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202202001","15/02/2022",".","5131111",15,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202203001","09/03/2022",".","9999",-300000.01,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202203001","09/03/2022",".","5161101",308653.86,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202203001","09/03/2022",".","9999",-8653.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202202004","09/03/2022",".","9999",-500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202202004","09/03/2022",".","5121101",500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202204001","08/04/2022",".","9999",-8668.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202204001","08/04/2022",".","9999",8653.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
