"Date","Contact Name","Reference","Description","Item Account Code","Bank Account Code","Line Amount","Tax Rate","Tax Amount","Line Amount Types","Tracking Name 1","Tracking Option 1","Tracking Name 2","Tracking Option 2","Currency Code","Exchange Rate","Trans #"
"10/01/2022","Social security office","PV202201002",".","9999","","1500.00","BAS Excluded","",,,,,,,,""
"12/01/2022","Social security office","PV202201004",".","9999","","278.00","BAS Excluded","",,,,,,,,""
"17/01/2022","TIS OPERATION ASIA","PV202201001",".","9999","","300000.00","BAS Excluded","",,,,,,,,""
"31/01/2022","Employee","PV202201003",".","9999","","61250.00","BAS Excluded","",,,,,,,,""
"09/02/2022","Social security office","PV202202003",".","9999","","1500.00","BAS Excluded","",,,,,,,,""
"09/02/2022","Revenue department","PV202202002",".","9999","","777.50","BAS Excluded","",,,,,,,,""
"15/02/2022","Social security office","PV202202001",".","9999","","8668.85","BAS Excluded","",,,,,,,,""
"09/03/2022","TIS OPERATION ASIA","PV202203001",".","9999","","300000.01","BAS Excluded","",,,,,,,,""
"09/03/2022","Social security office","PV202202004",".","9999","","500.00","BAS Excluded","",,,,,,,,""
"08/04/2022","Revenue department","PV202204001",".","9999","","8668.85","BAS Excluded","",,,,,,,,""
"17/06/2022","KBANK","RV202206001",".","9999","","12.88","BAS Excluded","",,,,,,,,""
"20/06/2022","Audit","PV202206001",".","9999","","8000.00","BAS Excluded","",,,,,,,,""
"27/06/2022","KBANK","RV202206002",".","9999","","126.21","BAS Excluded","",,,,,,,,""
"28/06/2022","TIS OPERATION ASIA","PV202206002",".","9999","","100000.00","BAS Excluded","",,,,,,,,""
"06/07/2022","Revenue department","PV202207001",".","9999","","3139.62","BAS Excluded","",,,,,,,,""
"16/12/2022","KBANK","RV202212001",".","9999","","2.39","BAS Excluded","",,,,,,,,""
"26/12/2022","KBANK","RV202212003",".","9999","","131.36","BAS Excluded","",,,,,,,,""
"31/12/2022","No Name","JV202212002",".","9999","","131838.33","BAS Excluded","",,,,,,,,""
"26/01/2023","Caryon SA - HQ","PV202301001",".","9999","","732017.25","BAS Excluded","",,,,,,,,""
"26/01/2023","Caryon SA - HQ","PV202301002",".","9999","","730774.57","BAS Excluded","",,,,,,,,""
"13/03/2023","TIS PETROLEUM (ASIA) PTE.,LTD.","PV202303002",".","9999","","69506400.00","BAS Excluded","",,,,,,,,""
"13/03/2023","TIS PETROLEUM (ASIA) PTE.,LTD.","PV202303003",".","9999","","173766.00","BAS Excluded","",,,,,,,,""
"13/03/2023","Caryon SA - HQ","PV202303004",".","9999","","500.00","BAS Excluded","",,,,,,,,""
"13/03/2023","Caryon SA - HQ","PV202303006",".","9999","","500.00","BAS Excluded","",,,,,,,,""
"23/03/2023","Caryon SA - HQ","PV202303005",".","9999","","672681.68","BAS Excluded","",,,,,,,,""
"23/03/2023","Caryon SA - HQ","PV202303005",".","9999","","5805.06","BAS Excluded","",,,,,,,,""
"07/04/2023","Caryon SA - HQ","PV202304001",".","9999","","913870.15","BAS Excluded","",,,,,,,,""
"07/04/2023","Caryon SA - HQ","PV202304001",".","9999","","1300.00","BAS Excluded","",,,,,,,,""
"27/04/2023","KBANK","RV202304001",".","9999","","500.00","BAS Excluded","",,,,,,,,""
"08/05/2023","KBANK","PV202305002",".","9999","","342.28","BAS Excluded","",,,,,,,,""
"29/05/2023","TIS PETROLEUM (ASIA) PTE.,LTD.","PV202305001",".","9999","","215.00","BAS Excluded","",,,,,,,,""
"07/06/2023","KBANK","PV202306004",".","9999","","350.77","BAS Excluded","",,,,,,,,""
"14/06/2023","Audit","PV202303001",".","9999","","7760.00","BAS Excluded","",,,,,,,,""
"16/06/2023","Ms. Oraphan Charoensutchai","PV202306001",".","9999","","1464.00","BAS Excluded","",,,,,,,,""
"16/06/2023","KBANK","RV202306001",".","9999","","6.99","BAS Excluded","",,,,,,,,""
"26/06/2023","KBANK","RV202306002",".","9999","","970.84","BAS Excluded","",,,,,,,,""
"28/06/2023","Caryon SA - HQ","PV202306002",".","9999","","3575854.77","BAS Excluded","",,,,,,,,""
"28/06/2023","Caryon SA - HQ","PV202306003",".","9999","","3161280.29","BAS Excluded","",,,,,,,,""
"28/06/2023","Caryon SA - HQ","PV202306003",".","9999","","1300.00","BAS Excluded","",,,,,,,,""
"07/07/2023","Caryon SA - HQ","PV202307002",".","9999","","5646473.47","BAS Excluded","",,,,,,,,""
"07/07/2023","Caryon SA - HQ","PV202307003",".","9999","","6045457.32","BAS Excluded","",,,,,,,,""
"07/07/2023","Caryon SA - HQ","PV202307003",".","9999","","1300.00","BAS Excluded","",,,,,,,,""
"07/07/2023","KBANK","PV202307006",".","9999","","355.64","BAS Excluded","",,,,,,,,""
